STEP	NGram	WeightedNgram	Syntax	Dataflow	lang	PPL	BLEU	EM	CODEBLEU
0	0.013939154976630319	0.034999212288772286	0.11388708630759248	0.22090955284552846	c	5.49971	1.40	0.0000	9.5934
0	0.015731411621775212	0.03361364431196736	0.17250650191490996	0.1851813064537243	javascript	12.85168	1.58	0.0000	10.1758
0	0.01433809360107369	0.03392297364821641	0.11830919162297461	0.1728494623655914	java	8.75603	1.44	0.0000	8.4855
0	0.0036108716539245377	0.014611388873135366	0.2057310243295339	0.0389908256880734	php	8.27578	0.36	0.0000	6.5736
0	0.008419141822497294	0.028857602055092683	0.1437014820042343	0.1853843720341664	go	7.04564	0.85	0.0000	9.1591
0	0.008314666697280315	0.025705038717142484	0.0970770593445527	0.1387045813586098	ruby	6.48674	0.84	0.0000	6.7450
0	0.018662554098936322	0.03670813468911807	0.20726981446602152	0.20205903602022912	python	13.87491	1.87	0.0000	11.6175
0	0.018175659739649245	0.034382967924826986	0.14798089221853872	0.17448200654307525	c_sharp	4.01850	1.84	0.0000	9.3755
1	0.9521320191110737	0.9527885274712355	0.9737183646982479	0.9660188008130082	c	1.01202	95.21	60.8653	96.1164
1	0.9549862688529224	0.9558545194483521	0.9719402591987008	0.9509883492603743	javascript	1.00786	95.50	59.6233	95.8442
1	0.9536210201520311	0.9546316610423342	0.9724517906336089	0.9463037634408602	java	1.00974	95.36	62.7309	95.6752
1	0.9627141072772748	0.9634439304386739	0.9930638821011732	0.9639478211009175	php	1.00384	96.27	73.7288	97.0792
1	0.9741478958727263	0.97414523142289	0.9937955775111739	0.9867921543815248	go	1.00363	97.41	75.5187	98.2220
1	0.9478520422407889	0.9484829537430446	0.9840566873339238	0.9677725118483412	ruby	1.00824	94.79	66.6667	96.2041
1	0.9575043830491806	0.9584144560575136	0.974259054794224	0.9523944679533491	python	1.01230	95.75	59.5013	96.0643
1	0.9460536544552341	0.9475648789249664	0.9808661150121382	0.9540530716103235	c_sharp	1.01194	94.61	62.5369	95.7134
2	0.9574972192671821	0.9586294089469543	0.9797209604153148	0.9728150406504065	c	1.01089	95.75	62.5369	96.7166
2	0.9565331295905662	0.9573708536162384	0.9742227879772186	0.957874067286294	javascript	1.00734	95.65	60.5062	96.1500
2	0.9546615878512837	0.9556675401702376	0.9749548268609852	0.9510752688172043	java	1.00931	95.47	62.9947	95.9090
2	0.9628443820672549	0.9635916966195266	0.9935343846282271	0.9630160550458715	php	1.00366	96.28	74.7881	97.0747
2	0.9749846788683917	0.9749826029407213	0.9935015290519877	0.987583043340715	go	1.00350	97.50	76.4869	98.2763
2	0.9511023662616006	0.9516830183291485	0.983348095659876	0.9813586097946287	ruby	1.00798	95.11	66.6667	96.6873
2	0.9581020820000447	0.9590064610985352	0.9763806802190903	0.9571163174734235	python	1.01192	95.81	60.1892	96.2651
2	0.949774690352057	0.9511319090524989	0.986295648542118	0.9609596510359869	c_sharp	1.01124	94.98	64.4051	96.2040
3	0.9604434694513231	0.9619081757682434	0.9827492969932944	0.9756732723577236	c	1.01036	96.04	64.1101	97.0194
3	0.957208988855544	0.9580192225613829	0.9739923403601567	0.9595758607147532	javascript	1.00721	95.72	60.9770	96.2199
3	0.9547387364410762	0.9557776638484462	0.9757842353150271	0.9528897849462366	java	1.00900	95.47	63.9842	95.9798
3	0.9615709178359008	0.9623594940322951	0.9925782020732467	0.9637327981651376	php	1.00377	96.16	74.3644	97.0060
3	0.9756295906234362	0.9756263319473989	0.994383674429546	0.9886902878835812	go	1.00346	97.56	77.3167	98.3582
3	0.9518652293846317	0.9525136769962765	0.9879539415411869	0.9661927330173775	ruby	1.00791	95.19	69.7531	96.4631
3	0.9585737516088717	0.9594681373783422	0.9786754995561906	0.961967179275467	python	1.01194	95.86	60.7051	96.4671
3	0.9530457794488374	0.954274604666137	0.9889321047273487	0.9637222828062523	c_sharp	1.01225	95.30	66.6667	96.4994
4	0.9602799899321742	0.9609925805818083	0.9821274064460307	0.9737677845528455	c	1.00979	96.03	64.0118	96.9292
4	0.9595916139699626	0.96038795578874	0.979534056865693	0.9641837936902736	javascript	1.00718	95.96	62.2131	96.5924
4	0.9569220146023003	0.9578918809360816	0.97861311057792	0.9540994623655914	java	1.00879	95.69	64.3799	96.1882
4	0.9647104647819688	0.9654288341415588	0.9926692670784829	0.9594323394495413	php	1.00449	96.47	74.1525	97.0560
4	0.9759546254264649	0.9759522516057093	0.9946483180428135	0.9890857323631762	go	1.00346	97.60	77.1784	98.3910
4	0.9546753053745396	0.9551013894666311	0.9883082373782108	0.981042654028436	ruby	1.00781	95.47	69.7531	96.9782
4	0.958732189269464	0.9595905869625561	0.9791517828148341	0.9652956961502736	python	1.01158	95.87	61.0490	96.5693
4	0.9545984577631008	0.9557298421868657	0.9899762457908063	0.9658306070519811	c_sharp	1.01035	95.46	67.8466	96.6534
5	0.9622844892703093	0.9637930105327507	0.9852098204629028	0.9799288617886179	c	1.00924	96.23	66.5683	97.2804
5	0.9614768002692204	0.9622431836197196	0.9814764010666432	0.96465505956277	javascript	1.00692	96.15	62.9782	96.7463
5	0.9578650327066964	0.9588182987281852	0.9809236055570366	0.9598454301075269	java	1.00867	95.79	64.0501	96.4363
5	0.9654588623291768	0.9661622008464145	0.9935799171308453	0.9645212155963303	php	1.00439	96.55	74.6822	97.2431
5	0.974911514351769	0.9749044498221542	0.993560338743825	0.9910629547611516	go	1.00339	97.49	77.3167	98.3610
5	0.955283295149548	0.9556969159859913	0.9907883082373782	0.9832543443917852	ruby	1.00765	95.53	71.6049	97.1256
5	0.9592543016129125	0.9601084616374662	0.9784590071658981	0.9652698936938796	python	1.01125	95.93	61.2210	96.5773
5	0.9543815720873798	0.9555306813361613	0.990367798689603	0.9669938204289349	c_sharp	1.00986	95.44	67.3550	96.6818
6	0.9629760194247603	0.9637730084633053	0.9835063811377893	0.9782139227642277	c	1.00890	96.30	66.6667	97.2117
6	0.9598159016499759	0.960600814411455	0.9786671348776982	0.9652310511847101	javascript	1.00686	95.98	62.6839	96.6079
6	0.9554694933062706	0.9564590445977451	0.9761693178115466	0.9558131720430108	java	1.00858	95.55	63.9182	96.0978
6	0.9634358186600194	0.9641868478979282	0.9926692670784829	0.9653813073394495	php	1.00420	96.34	74.4703	97.1418
6	0.9758600305170463	0.9758561817869423	0.994383674429546	0.9923283770958558	go	1.00331	97.59	77.3167	98.4607
6	0.950948991268381	0.9514394657262486	0.9884853852967228	0.9842022116903634	ruby	1.00768	95.10	68.5185	96.8769
6	0.9597289397583664	0.9606025099002032	0.9787837457513369	0.9633605119207349	python	1.01113	95.97	61.3929	96.5619
6	0.9558097082176954	0.9569039175054885	0.9900545563705656	0.9685205379861869	c_sharp	1.00948	95.58	68.6332	96.7822
7	0.9645637478271482	0.965263769513888	0.9845608911961929	0.9797383130081301	c	1.00883	96.46	68.1416	97.3532
7	0.9608431009167018	0.9616024183686472	0.9800827416682213	0.9634507134441681	javascript	1.00680	96.08	63.5079	96.6495
7	0.9570834581406339	0.958062094194098	0.9792203560532007	0.9590389784946236	java	1.00845	95.71	64.6438	96.3351
7	0.964104768467291	0.9648508951392099	0.9940655971587719	0.9654529816513762	php	1.00371	96.41	74.7881	97.2119
7	0.9764370465591817	0.9764364512676913	0.9948835568101623	0.9909047769693136	go	1.00326	97.64	77.5934	98.4665
7	0.9539061993034668	0.9543183346746273	0.9888396811337467	0.9835703001579779	ruby	1.00752	95.39	69.1358	97.0159
7	0.96048652003851	0.9613021417207217	0.9800827000930917	0.9670502631850553	python	1.01101	96.05	61.5649	96.7230
7	0.9571052419543868	0.9581678412914912	0.9903155916364301	0.9713558705925118	c_sharp	1.01015	95.71	69.1249	96.9236
8	0.9650933087132865	0.9657462331601437	0.9851016655851179	0.9780233739837398	c	1.00866	96.51	68.2399	97.3491
8	0.9623259888568543	0.963083975887462	0.9828590867690147	0.9675088362351093	javascript	1.00695	96.23	63.8022	96.8944
8	0.9583687847738234	0.9593158987807543	0.980138629698747	0.9626680107526882	java	1.00842	95.84	64.7757	96.5123
8	0.9653054839565721	0.9660210394760215	0.9939593546526629	0.9641628440366973	php	1.00443	96.53	74.8941	97.2362
8	0.9768047100594016	0.9768023341709794	0.9949717713479181	0.9912211325529896	go	1.00326	97.68	78.0083	98.4950
8	0.9530327402969154	0.9534403270775175	0.9897254207263064	0.987045813586098	ruby	1.00748	95.30	70.3704	97.0811
8	0.9601690844399157	0.9610156285255956	0.9796064168344483	0.9653989059758489	python	1.01099	96.02	61.4789	96.6548
8	0.9576664271576024	0.958694469381701	0.9908376621681589	0.9699745547073791	c_sharp	1.01039	95.77	69.3215	96.9293
9	0.966859239751762	0.9677179400425083	0.985561323815704	0.9796747967479674	c	1.00877	96.69	69.6165	97.4953
9	0.9614146396158387	0.9621867185441491	0.9813117956258848	0.967901557795523	javascript	1.00703	96.14	63.6845	96.8204
9	0.9589961385060184	0.9599322436315891	0.9807014425782754	0.9631720430107527	java	1.00830	95.90	65.8311	96.5700
9	0.9624610531886445	0.9632502054226385	0.9936861596369542	0.9668147935779816	php	1.00365	96.25	75.6356	97.1553
9	0.9766257963593142	0.976623420906065	0.994383674429546	0.9913002214489086	go	1.00343	97.66	78.0083	98.4733
9	0.9517381407605832	0.9521972314679894	0.9895482728077946	0.9848341232227488	ruby	1.00749	95.17	70.3704	96.9579
9	0.9602921725071398	0.9611160084167193	0.9809270204152324	0.9682887810919599	python	1.01130	96.03	61.6509	96.7656
9	0.9581444316419939	0.9591808840698426	0.9914641468062335	0.972082878953108	c_sharp	1.01080	95.81	69.3215	97.0218
10	0.9665956451762783	0.9674835721136198	0.9849123945489942	0.9802464430894309	c	1.00841	96.66	69.0265	97.4810
10	0.9619056771374274	0.9626906322047704	0.9822994282704358	0.9688179081031548	javascript	1.00744	96.19	64.3908	96.8928
10	0.9599288510224846	0.9608482154137445	0.9832637222666548	0.9644153225806451	java	1.00827	95.99	65.1715	96.7114
10	0.9651502042307121	0.9658717711466459	0.9946423421919347	0.9637327981651376	php	1.00427	96.52	75.8475	97.2349
10	0.9768286599987411	0.9768280644685008	0.9951187955775112	0.9890857323631762	go	1.00350	97.68	78.4232	98.4465
10	0.9533779078962644	0.9537868891508938	0.9895482728077946	0.9854660347551343	ruby	1.00728	95.34	70.9877	97.0545
10	0.960795731379153	0.9616165818543384	0.9803424909614427	0.9667148312519351	python	1.01132	96.08	61.4789	96.7367
10	0.9577088316691146	0.9587320171931557	0.9896891069983554	0.9706288622319157	c_sharp	1.01274	95.77	69.7148	96.9190
11	0.9670138048025015	0.9676272463149166	0.9861291369240752	0.9822789634146342	c	1.00862	96.70	70.4031	97.5762
11	0.9614704710446681	0.9622368063010996	0.9808289529996598	0.9669328446131693	javascript	1.00712	96.15	63.8022	96.7867
11	0.9605821422761214	0.9614999104272726	0.9829526940963891	0.9653225806451613	java	1.00833	96.06	65.6992	96.7589
11	0.9638287934273349	0.9645695434334954	0.9940504196578991	0.9650946100917431	php	1.00539	96.38	74.2585	97.1886
11	0.9762816867264811	0.9762813889995547	0.9939720065866855	0.9886111989876621	go	1.00334	97.63	77.8700	98.3787
11	0.9524300401119137	0.9529186653041798	0.9895482728077946	0.9848341232227488	ruby	1.00736	95.24	69.7531	96.9933
11	0.9606276317256713	0.961430197597316	0.9813600051958173	0.9683661884611415	python	1.01122	96.06	61.6509	96.7946
11	0.9596414969036674	0.960600645024949	0.9898457281578741	0.9710650672482734	c_sharp	1.01169	95.96	70.2065	97.0288
12	0.9685371890225548	0.9690858116620904	0.9865617564352153	0.9806910569105691	c	1.01093	96.85	71.4848	97.6219
12	0.9613008627633381	0.9620795090736615	0.9813886114982387	0.9652310511847101	javascript	1.00874	96.13	64.2731	96.7500
12	0.9606815398543841	0.9615784769637579	0.9827749637133801	0.9672379032258065	java	1.00835	96.07	66.0950	96.8068
12	0.9626697639421754	0.9634473370605962	0.9933977871203727	0.9632310779816514	php	1.00522	96.27	75.0000	97.0686
12	0.9768295572564812	0.9768292593624764	0.9942072453540344	0.9923283770958558	go	1.00409	97.68	77.8700	98.5049
12	0.9525465178547418	0.9529805624235419	0.9893711248892826	0.9848341232227488	ruby	1.00722	95.25	70.3704	96.9933
12	0.9604925247749925	0.9613045513102735	0.9805589833517352	0.965218288781092	python	1.01200	96.05	61.5649	96.6894
12	0.9592381888536158	0.9602469699388858	0.9918034926518573	0.9709196655761542	c_sharp	1.01661	95.92	69.9115	97.0552
13	0.9689867046522814	0.9696916967939464	0.9873458792991564	0.9796747967479674	c	1.01431	96.90	71.7797	97.6425
13	0.9620711178483964	0.9628443013868694	0.9813447167140364	0.9666186673648384	javascript	1.01133	96.21	64.7440	96.8220
13	0.9594043800824247	0.9603357349105057	0.9808495512307829	0.964885752688172	java	1.00851	95.94	65.3694	96.6369
13	0.9635946917884116	0.9643424013836971	0.9931094146037913	0.966743119266055	php	1.00465	96.36	74.5763	97.1947
13	0.9762941001202062	0.976293504915864	0.9947071277346506	0.9907465991774754	go	1.00584	97.63	77.8700	98.4510
13	0.9492926065527029	0.9498295946309518	0.9868910540301151	0.9775671406003159	ruby	1.00740	94.93	69.1358	96.5895
13	0.9605200569150275	0.9613540457477072	0.9812734082397003	0.9685726081122923	python	1.01855	96.05	61.4789	96.7930
13	0.9603471944409497	0.9613209113529121	0.9915946644391658	0.9695383496910215	c_sharp	1.02043	96.03	70.2065	97.0700
14	0.9687795080110123	0.9693222980941116	0.9875351503352802	0.9822789634146342	c	1.01689	96.88	71.3864	97.6979
14	0.9620134331977954	0.9627939890204584	0.9817836645560591	0.9694200811624558	javascript	1.01206	96.20	64.5085	96.9003
14	0.9589336786790911	0.9598700189030865	0.9812050119968009	0.963239247311828	java	1.00897	95.89	65.1715	96.5812
14	0.9637410742028955	0.9645081320193557	0.994475389682335	0.9655963302752294	php	1.00703	96.37	75.1059	97.2080
14	0.9772580041406008	0.977257408348608	0.9946189131968949	0.9913793103448276	go	1.00786	97.73	78.4232	98.5128
14	0.9523105264735734	0.9527376185243961	0.9872453498671391	0.9813586097946287	ruby	1.00757	95.23	71.6049	96.8413
14	0.9604230574694104	0.9612391397200212	0.9806672295468815	0.9651150789555165	python	1.01990	96.04	61.3929	96.6861
14	0.9584131213107314	0.9594976741350352	0.9892192435197995	0.9657579062159215	c_sharp	1.02515	95.84	70.1082	96.8222
15	0.9685731237325378	0.9692521120438357	0.9860209820462903	0.9798653455284553	c	1.03331	96.86	71.4848	97.5928
15	0.9624699754717865	0.9632203802400603	0.9818056119481603	0.9697866212855085	javascript	1.01654	96.25	64.9794	96.9321
15	0.9590814658185068	0.9600180521534937	0.9809532272875381	0.9646841397849463	java	1.01356	95.91	65.2375	96.6184
15	0.9624564129393397	0.9632447315488629	0.993746869640445	0.9646645642201835	php	1.01193	96.25	74.8941	97.1028
15	0.9760049140672976	0.9760043190392595	0.9944130792754646	0.9886111989876621	go	1.02640	97.60	77.5934	98.3758
15	0.9523214563598995	0.9527617543813642	0.9895482728077946	0.9832543443917852	ruby	1.01094	95.23	70.9877	96.9471
15	0.9601980432805338	0.9610232471759256	0.9812517590006711	0.9655021158014243	python	1.06104	96.02	61.6509	96.6994
15	0.9593246995619129	0.9603376997495544	0.9904461092693623	0.9727371864776445	c_sharp	1.04045	95.93	70.0098	97.0711
16	0.9688546014953653	0.9693930245449874	0.9860750594851828	0.9822154471544715	c	1.02382	96.89	71.4848	97.6635
16	0.9622994626002097	0.9630601576225457	0.9813447167140364	0.9688964524152376	javascript	1.01452	96.23	64.4497	96.8900
16	0.9588074647166479	0.9597510754012004	0.9803015492165053	0.9630040322580645	java	1.01323	95.88	65.5673	96.5466
16	0.9629361206538234	0.9637152967954314	0.9939441771517902	0.9672448394495413	php	1.00826	96.29	75.8475	97.1960
16	0.9766967700133435	0.9766961745635108	0.9945601035050576	0.9920911104080987	go	1.02285	97.67	78.0083	98.5011
16	0.9515953133536957	0.952115291777184	0.9907883082373782	0.9848341232227488	ruby	1.01119	95.16	70.9877	96.9833
16	0.9608928697904995	0.9616959914896653	0.9805806325907644	0.9683403860047477	python	1.04934	96.09	61.8229	96.7877
16	0.9600870575172682	0.9610445920725238	0.9900806598971521	0.969247546346783	c_sharp	1.03729	96.01	70.5015	97.0115
17	0.9696974452352998	0.9705092123796518	0.9879136924075276	0.9843114837398373	c	1.04160	96.97	71.7797	97.8108
17	0.9618784180440991	0.9626494336490095	0.9812679008416825	0.967901557795523	javascript	1.01673	96.19	64.4497	96.8424
17	0.9599872738993019	0.960903778927821	0.9808051186350306	0.9651209677419355	java	1.02552	96.00	65.3034	96.6704
17	0.9640880510798229	0.9648340230556183	0.9937316921395724	0.9653813073394495	php	1.01525	96.41	75.0000	97.2009
17	0.9767306460351578	0.9767300505646723	0.994677722888732	0.9928819993672888	go	1.03107	97.67	77.8700	98.5255
17	0.9526769933794483	0.9531593847699682	0.9893711248892826	0.9860979462875198	ruby	1.01128	95.27	70.9877	97.0326
17	0.9615820125154566	0.9623625192852023	0.9809486696542616	0.9683403860047477	python	1.07594	96.16	61.7369	96.8308
17	0.961254713842914	0.9621840521398868	0.9919079067582031	0.9744093057070157	c_sharp	1.05870	96.13	70.8948	97.2439
18	0.9697357435229459	0.9707158658893232	0.9875081116158339	0.9851371951219512	c	1.08636	96.97	72.4680	97.8274
18	0.9626622207703301	0.9634194536478627	0.9820250858691716	0.9703887943448095	javascript	1.02270	96.27	65.1560	96.9624
18	0.9598728717084878	0.96081521054892	0.9801682514292485	0.9678091397849462	java	1.04353	95.99	65.9631	96.7166
18	0.9630470218188271	0.9638135206314511	0.9934433196229909	0.9648795871559633	php	1.02610	96.30	75.2119	97.1296
18	0.9770527797855088	0.977052779785509	0.9960891554928252	0.9926447326795318	go	1.04609	97.71	78.1466	98.5710
